First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills
Shreya,shreya@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Email,,Students,2025,Talmuk,7.9,7,0-2 Lakh,12,no
Siddhant,siddhant@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Email,,Students,2025,Siuri,9.3,5,0-2 Lakh,23,no
Shubham,shubham@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",SPOC/ College Professor,,Students,2024,Sagar,7.3,4,0-2 Lakh,7,yes
Parth,parth@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Email,,Students,2023,Satna,7.5,3,0-2 Lakh,13,yes
Dhruv,dhruv@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2023,Ujjain,7.6,5,0-2 Lakh,19,no 
Akshay,akshay@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Email | SPOC/ College Professor,,Students,2025,Vidisha,8.0,3,0-2 Lakh,25,no 
Bhushan,bhushan@xyz.com,1,Data Visualization using Power BI,NAN,"priyadarshini college of engineering, nagpur ",,,Students,2024,Bhandara,6.7,3,0-2 Lakh,9,no
Dipak,dipak@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Email,,Students,2023,Buldhana,9.5,3,0-2 Lakh,17,yes
Aditya,aditya@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Facebook,,Students,2024,Jalgaon,7.9,3,0-2 Lakh,13,no
Abu,abu@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",SPOC/ College Professor,,Students,2025,Navi Mumbai,7.8,5,0-2 Lakh,10,no
Abhishek,abhishek@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Email,,Students,2025,Mumbai,9.1,4,0-2 Lakh,10,yes
Khushal,khushal@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,,Students,2025,Nagpur,6.9,3,0-2 Lakh,10,yes
raghav,raghav@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,SPOC/ College Professor,,Students,2024,Nanded,8.4,5,0-2 Lakh,15,no 
Tushar,tushar@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Email,,Students,2026,Mahe,6.7,3,0-2 Lakh,12,no 
Omkar,omkar@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Email,,Students,2023,Amritsar,9.2,7,0-2 Lakh,20,yes
Varsha,varsha@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",Email | Cloud Counselage Website,,Students,2023,Sangrur,7.9,5,0-2 Lakh,9,no
Manan,manan@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Email,,Students,2024,Ajmer,9.9,3,0-2 Lakh,9,no
Varun,varun@xyz.com,1,Data Visualization using Power BI,Attending,new horizon institute of technology and management ,Email,,Students,2024,Barmer,9.3,5,0-2 Lakh,7,yes
Mohit,mohit@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2023,Bikaner,6.4,7,0-2 Lakh,21,no
Himanshu ,himanshu@xyz.com,1,Data Visualization using Power BI,Attending,"symbiosis institute of technology, pune",SPOC/ College Professor,,Students,2025,Jaipur,8.4,7,0-2 Lakh,5,no
Anmol,anmol@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Email,,Students,2024,Jalor,6.6,7,0-2 Lakh,16,no
Prathmesh ,prathmesh@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,Email,,Students,2025,Jhalwar,7.8,5,0-2 Lakh,21,no
Vishal,vishal@xyz.com,1,Data Visualization using Power BI,Attending,d y patil institute of mca and management akurdi pune,Email,,Students,2025,Ahemdabad,8.5,7,0-2 Lakh,13,no 
Prathamesh,prathamesh@xyz.com,1,Data Visualization using Power BI,Attending,ap shah institute of technology ,SPOC/ College Professor,,Students,2024,Amreli,8.5,7,0-2 Lakh,24,yes
Vaishali,vaishali@xyz.com,1,Data Visualization using Power BI,Attending,don bosco college of engineering fatorda goa,SPOC/ College Professor,,Students,2023,Dwarka,9.1,7,0-2 Lakh,17,yes
Prathamesh,prathamesh@xyz.com,1,Data Visualization using Power BI,Attending,st xavier's college ,Whatsapp,,Students,2025,Jamnagar,8.7,7,0-2 Lakh,21,no
rishikesh,rishikesh@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2023,Junagadh,6.5,7,0-2 Lakh,8,no
Ashwini,ashwini@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2026,Morbi,9.3,7,0-2 Lakh,20,no
Shailesh,shailesh@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2024,Nadiad,7.6,3,0-2 Lakh,7,no
Shantanu,shantanu@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,,Students,2023,Navsari,6.5,7,0-2 Lakh,25,no
Sanika,sanika@xyz.com,1,Data Visualization using Power BI,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2025,Okha,8.7,5,0-2 Lakh,21,no
Lalit,lalit@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp | SPOC/ College Professor,,Students,2024,Surat,9.2,4,0-2 Lakh,24,yes
Manasi ,manasi@xyz.com,1,Data Visualization using Power BI,Attending,st.francis institute of technology,SPOC/ College Professor,,Students,2023,Valsad,7.3,3,0-2 Lakh,8,yes
Vaibhav ,vaibhav@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2026,Chandigarh,7.1,4,0-2 Lakh,21,no 
Mamta,mamta@xyz.com,1,Data Visualization using Power BI,Attending,"symbiosis institute of technology, pune",Whatsapp,,Students,2024,Faridabad,8.3,5,0-2 Lakh,17,yes
Roshan,roshan@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Whatsapp,,Students,2025,Gurugram,9.2,7,0-2 Lakh,18,yes
Bhagyashri ,bhagyashri@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,SPOC/ College Professor,,Students,2024,Hisar,9.9,7,0-2 Lakh,23,no
Harsh,harsh@xyz.com,1,Data Visualization using Power BI,Attending,wilson college ,SPOC/ College Professor,,Students,2023,Jind,9.3,7,0-2 Lakh,19,no
Atharva ,atharva@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2025,Kaithal,7.1,5,0-2 Lakh,8,no
Mayur ,mayur@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,,Students,2023,Nizambad,7.5,3,0-2 Lakh,8,yes
Snehal,snehal@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2026,Aligarh,8.3,4,0-2 Lakh,7,no
SUDARSHAN ,sudarshan@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2023,Gonda,7.4,4,0-2 Lakh,7,no
Abhay,abhay@xyz.com,1,Data Visualization using Power BI,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,SPOC/ College Professor,,Students,2023,Ghazipur,6.7,4,0-2 Lakh,8,no
Vaibhav ,vaibhav@xyz.com,1,Data Visualization using Power BI,Attending,adhiyamaan college of engineering,Whatsapp,,Students,2025,Gonda,9.7,4,0-2 Lakh,6,yes
Anjali,anjali@xyz.com,1,Data Visualization using Power BI,Attending,don bosco college of engineering fatorda goa,SPOC/ College Professor,,Students,2025,Gorakhpur,7.9,4,0-2 Lakh,6,no 
Vanshita ,vanshita@xyz.com,1,Data Visualization using Power BI,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2024,Hamirpur,7.2,5,0-2 Lakh,7,no 
Surajkumar,surajkumar@xyz.com,1,Data Visualization using Power BI,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,,Students,2025,Jhansi,8.7,3,0-2 Lakh,5,no
Jitesh,jitesh@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Whatsapp | SPOC/ College Professor,,Students,2024,Kanpur,8.2,7,0-2 Lakh,6,no
Sonal,sonal@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",SPOC/ College Professor,,Students,2024,Mathura,7.1,7,0-2 Lakh,11,yes
Manali ,manali@xyz.com,1,Data Visualization using Power BI,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2023,Mainpuri,8.5,7,0-2 Lakh,20,no
Aarti,aarti@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,,Students,2024,Varanasi,9.1,5,0-2 Lakh,5,no
Varsha,varsha@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Whatsapp | SPOC/ College Professor,,Students,2025,Almora,9.5,3,0-2 Lakh,7,no
Ujwala,ujwala@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2023,Alipore,6.7,4,0-2 Lakh,9,no
Neha,neha@xyz.com,1,Data Visualization using Power BI,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2024,Durgapur,8.2,3,0-2 Lakh,8,yes
Sapna,sapna@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",SPOC/ College Professor,,Students,2025,Hugli,6.5,5,0-2 Lakh,9,yes
Taksh,taksh@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp | SPOC/ College Professor,,Students,2023,Kolkata,8.7,7,0-2 Lakh,13,no 
Anushree ,anushree@xyz.com,1,Data Visualization using Power BI,Attending,st.francis institute of technology,Whatsapp,,Students,2025,Malda,9.1,5,0-2 Lakh,15,no 
Vaishnavi ,vaishnavi@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2024,Santipur,7.4,7,0-2 Lakh,12,yes
Vishnu,vishnu@xyz.com,1,Data Visualization using Power BI,Attending,"symbiosis institute of technology, pune",Whatsapp,,Students,2024,Siliguri,7.3,7,0-2 Lakh,5,no
Prachi,prachi@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Whatsapp,,Students,2026,Silguri,8.6,3,0-2 Lakh,20,no
Milind,milind@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,Whatsapp,,Students,2023,Siuri,9.2,4,0-2 Lakh,20,no
Sonu,sonu@xyz.com,1,Data Visualization using Power BI,Attending,wilson college ,Email,,Students,2025,Talmuk,7.8,3,0-2 Lakh,14,yes
Faizan,faizan@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2023,Talmuk,7.9,7,0-2 Lakh,16,no
Vaidehi ,vaidehi@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,,Students,2024,Siuri,9.9,5,0-2 Lakh,9,no
Kartik ,kartik@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2025,Orchha,9.5,3,0-2 Lakh,9,no
Yash,yash@xyz.com,1,Data Visualization using Power BI,Attending,d y patil institute of mca and management akurdi pune,Whatsapp,,Students,2023,Ujjain,9.6,4,0-2 Lakh,6,yes
Madhur ,madhur@xyz.com,1,Data Visualization using Power BI,Attending,ap shah institute of technology ,Email,,Students,2024,Vidisha,6.2,7,0-2 Lakh,8,no 
Shreyash ,shreyash@xyz.com,1,Data Visualization using Power BI,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2025,Akola,9.1,3,0-2 Lakh,21,no 
Ayushi,ayushi@xyz.com,1,Data Visualization using Power BI,Attending,pillai college of engineering new panvel,SPOC/ College Professor,,Students,2025,Aurangabad,7.2,5,0-2 Lakh,5,yes
Khushi,khushi@xyz.com,1,Data Visualization using Power BI,Attending,st xavier's college ,Whatsapp,,Students,2024,Bhandara,9.5,5,0-2 Lakh,21,yes
Bhumika,bhumika@xyz.com,1,Data Visualization using Power BI,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,,Students,2026,Bid,8.4,4,0-2 Lakh,9,no
RICKY,ricky@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2023,Buldhana,9.9,7,0-2 Lakh,25,no
Dhruv,dhruv@xyz.com,1,Data Visualization using Power BI,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2025,Kalyan,7.6,5,0-2 Lakh,19,no
Ketan,ketan@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",Email,,Students,2025,Thane,8.3,3,0-2 Lakh,18,no
Rahul,rahul@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Navi Mumbai,6.3,5,0-2 Lakh,23,no
Jayesh ,jayesh@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2026,Nanded,8.5,5,0-2 Lakh,9,yes
Pooja,pooja@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Whatsapp,,Students,2025,Amritsar,8.8,5,0-2 Lakh,17,no 
Omkar ,omkar@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,SPOC/ College Professor,,Students,2023,Patiala,7.9,5,0-2 Lakh,13,yes
MIHIR,mihir@xyz.com,1,Data Visualization using Power BI,Attending,wilson college ,Email,,Students,2025,Sangrur,7.5,4,0-2 Lakh,11,yes
Nikhil ,nikhil@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Email | SPOC/ College Professor,,Students,2023,Amer,6.4,5,0-2 Lakh,19,no
vishnu,vishnu@xyz.com,1,Data Visualization using Power BI,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,,Students,2024,Barmer,7.5,7,0-2 Lakh,18,no
Manisha,manisha@xyz.com,1,Data Visualization using Power BI,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,SPOC/ College Professor,,Students,2026,Bikaner,7.7,7,0-2 Lakh,12,yes
Sonali,sonali@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Jaipur,9.9,3,0-2 Lakh,23,no
Prajakta ,prajakta@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",SPOC/ College Professor,,Students,2025,Jalor,7.6,3,0-2 Lakh,8,no
PARTH,parth@xyz.com,1,Data Visualization using Power BI,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Email,,Students,2024,Jhalwar,7.9,4,0-2 Lakh,9,no
Smith ,smith@xyz.com,1,Data Visualization using Power BI,Attending,silicon institute of technology,Whatsapp,,Students,2025,Jodhpur,7.7,3,0-2 Lakh,7,no
Smith,smith@xyz.com,1,Data Visualization using Power BI,Attending,adhiyamaan college of engineering,Email,,Students,2024,Kota,7.4,7,0-2 Lakh,13,no
Nikhil,nikhil@xyz.com,1,Data Visualization using Power BI,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2023,Pali,9.2,5,0-2 Lakh,19,yes
Mehul ,mehul@xyz.com,1,Data Visualization using Power BI,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2023,Sikar,7.6,5,0-2 Lakh,25,yes
Apurva ,apurva@xyz.com,1,Data Visualization using Power BI,Attending,st xavier's college ,Whatsapp,,Students,2026,Ahemdabad,8.7,7,0-2 Lakh,22,no 
Shruti ,shruti@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",SPOC/ College Professor,,Students,2025,Amreli,9.5,3,0-2 Lakh,6,no 
Mayur ,mayur@xyz.com,1,Data Visualization using Power BI,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,,Students,2024,Dwarka,6.9,7,0-2 Lakh,9,yes
Anjali ,anjali@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,Instagram | Whatsapp,,Students,2024,Godhra,9.2,7,0-2 Lakh,20,yes
Jay,jay@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2025,Jamnagar,6.9,7,0-2 Lakh,15,no
Prajwal,prajwal@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,,Students,2023,Junagadh,7.2,5,0-2 Lakh,17,no
Tanmay,tanmay@xyz.com,1,Data Visualization using Power BI,NAN,"kle society's college of bca, rls institute, belagavi",,,Students,2026,Morbi,6.5,4,0-2 Lakh,13,yes
Prachi,prachi@xyz.com,1,Data Visualization using Power BI,NAN,g h raisoni institut of engineering and technology pune,,,Students,2024,Nadiad,7.5,5,0-2 Lakh,11,no
sasank,sasank@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,Email,,Students,2023,Navsari,6.9,3,0-2 Lakh,12,no
Meet,meet@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",SPOC/ College Professor,,Students,2023,Surat,7.3,4,0-2 Lakh,10,no
Vaishali,vaishali@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",SPOC/ College Professor,,Students,2024,Valsad,6.7,7,0-2 Lakh,15,yes
Anurag,anurag@xyz.com,1,Data Visualization using Power BI,Attending,st.francis institute of technology,SPOC/ College Professor,,Students,2024,Ambala,8.7,7,0-2 Lakh,12,yes
Yash,yash@xyz.com,1,Data Visualization using Power BI,Attending,new horizon institute of technology and management ,SPOC/ College Professor,,Students,2023,Chandigarh,6.7,5,0-2 Lakh,20,no 
Rohit,rohit@xyz.com,1,Data Visualization using Power BI,Attending,late g. n. sapkal college of engineering,Email,,Students,2025,Faridabad,9.0,7,0-2 Lakh,21,no 
Anushka,anushka@xyz.com,1,Data Visualization using Power BI,Attending,"mit academy of engineering ,alandi",Whatsapp | SPOC/ College Professor,,Students,2023,Tirupati,8.5,5,0-2 Lakh,9,yes
NEHA,neha@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,,Students,2024,Guwahati,9.5,4,0-2 Lakh,21,no
Asher,asher@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,,Students,2023,Tezpur,9.7,3,0-2 Lakh,16,no
Prajwal ,prajwal@xyz.com,1,Data Visualization using Power BI,Attending,g h raisoni institut of engineering and technology pune,SPOC/ College Professor,,Students,2026,Sivasagar,9.3,7,0-2 Lakh,21,no
Omkar,omkar@xyz.com,1,Data Visualization using Power BI,Attending,government polytechnic gandhinagar,SPOC/ College Professor,,Students,2025,Burani,9.1,5,0-2 Lakh,8,no
Sanika,sanika@xyz.com,1,Data Visualization using Power BI,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp | SPOC/ College Professor,,Students,2025,Dehri,7.6,3,0-2 Lakh,7,no
Prachi,prachi@xyz.com,1,Data Visualization using Power BI,Attending,"kle society's college of bca, rls institute, belagavi",SPOC/ College Professor,,Students,2024,Bhandara,7.9,7,0-2 Lakh,9,yes
Sanket,sanket@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Bhsawal,8.5,3,0-2 Lakh,13,yes
Pratik ,pratik@xyz.com,1,Data Visualization using Power BI,Attending,st.francis institute of technology,Email,,Students,2023,Bid,8.7,4,0-2 Lakh,24,no 
AVINASH,avinash@xyz.com,1,Data Visualization using Power BI,Attending,"symbiosis institute of technology, pune",Whatsapp,,Students,2024,Jalgaon,8.6,7,0-2 Lakh,21,yes
Laxmikant,laxmikant@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,Whatsapp,,Students,2023,Thane,9.1,5,0-2 Lakh,9,no
Girish,girish@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Others,College,Students,2025,Mumbai,7.5,4,0-2 Lakh,7,yes
Sanket,sanket@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,SPOC/ College Professor,,Students,2024,Nagpur,7.2,4,0-2 Lakh,25,no
Sonali,sonali@xyz.com,1,Data Visualization using Power BI,Attending,na,SPOC/ College Professor,,Students,2026,Nanded,7.6,7,0-2 Lakh,21,no
Vedant,vedant@xyz.com,1,Data Visualization using Power BI,Attending,na,SPOC/ College Professor,,Students,2024,Mahe,7.3,4,0-2 Lakh,30,no
Ekta,ekta@xyz.com,1,Data Visualization using Power BI,Attending,a. c. patil college of engineering,Email,,Students,2023,Sangrur,6.6,3,0-2 Lakh,19,yes
Devang,devang@xyz.com,1,Data Visualization using Power BI,Attending,wilson college ,Whatsapp,,Students,2025,Ajmer,6.6,5,0-2 Lakh,21,yes
Tanuja,tanuja@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2024,Amer,8.5,4,0-2 Lakh,17,no 
Sushil ,sushil@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,,Students,2026,Barmer,7.7,5,0-2 Lakh,18,no 
Anand ,anand@xyz.com,1,Data Visualization using Power BI,Attending,"thakur institute of management studies, career development & research - [timscdr]",SPOC/ College Professor,,Students,2023,Bikaner,8.1,3,0-2 Lakh,9,yes
Sunny,sunny@xyz.com,1,Data Visualization using Power BI,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2025,Jalor,7.1,7,0-2 Lakh,8,no
Sakshi,sakshi@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2023,Jhalwar,8.3,7,0-2 Lakh,8,no
Manav ,manav@xyz.com,1,Data Visualization using Power BI,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,,Students,2024,Jodhpur,7.7,5,0-2 Lakh,8,no
SUDHIR ,sudhir@xyz.com,1,Data Visualization using Power BI,Attending,adhiyamaan college of engineering,SPOC/ College Professor,,Students,2023,Pali,6.5,3,0-2 Lakh,9,no
Suyog,suyog@xyz.com,1,Data Visualization using Power BI,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Whatsapp,,Students,2025,Amreli,6.7,7,0-2 Lakh,13,no
Samarth,samarth@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp | SPOC/ College Professor,,Students,2023,Godhra,9.3,7,0-2 Lakh,15,yes
Rahul,rahul@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2023,Amravati,6.9,7,0-2 Lakh,19,yes
Omkar,omkar@xyz.com,1,Data Visualization using Power BI,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Email,,Students,2024,Tirupati,8.3,4,0-2 Lakh,12,no 
RIDDHI,riddhi@xyz.com,1,Data Visualization using Power BI,Attending,Don Bosco College of Engineering Fatorda Goa,Email,,Students,2024,Vijaywada,7.2,7,0-2 Lakh,23,yes
Tejas,tejas@xyz.com,1,Data Visualization using Power BI,Attending,Pillai College of Engineering New Panvel,Email | SPOC/ College Professor,,Students,2026,Eluru,8.1,7,0-2 Lakh,8,yes
Pranav,pranav@xyz.com,1,Data Visualization using Power BI,Attending,St Xavier's College ,Cloud Counselage Website,,Students,2023,Guwahati,9.5,5,0-2 Lakh,9,no
Ganesh,ganesh@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",Email | SPOC/ College Professor,,Students,2023,Nagaon,9.6,3,0-2 Lakh,7,no
Aditya,aditya@xyz.com,1,Data Visualization using Power BI,NAN,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,,Students,2025,Tezpur,7.5,3,0-2 Lakh,13,no
Harsh,harsh@xyz.com,1,Data Visualization using Power BI,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Sivasagar,7.9,5,0-2 Lakh,19,yes
Tanmay,tanmay@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,SPOC/ College Professor,,Students,2025,Burani,9.3,3,0-2 Lakh,25,no
Pranav,pranav@xyz.com,1,Data Visualization using Power BI,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",SPOC/ College Professor,,Students,2023,Darbhanga,7.3,3,0-2 Lakh,9,no
