index,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills
57,Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",LinkedIn,,Students,2024,Hamirpur,7.2,4,0-2 Lakh,25,no
58,Krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2023,kullu,8.5,5,2-5 Lakh,22,no
60,Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2024,Una,9.5,5,0-2 Lakh,20,no
61,Varun,varun@xyz.com,1,Art of Resume Building,Attending,,Whatsapp | Others,College,Students,2023,Anantnag,8.1,7,0-2 Lakh,15,yes
62,Anand,anand@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,,Students,2023,Doda,9.3,4,0-2 Lakh,19,no 
63,Karuna,karuna@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2024,Gulmarg,9.1,3,0-2 Lakh,13,no 
64,Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2023,Punch,7.8,5,0-2 Lakh,12,yes
65,Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,College,Students,2024,Srinagar,8.5,7,0-2 Lakh,10,no
69,Somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Kolar,7.5,3,0-2 Lakh,8,yes
71,Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2023,Kochi,7.6,4,5-7 Lakh,21,no 
72,Kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2024,Thrissur,7.3,5,0-2 Lakh,16,yes
75,Sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2023,Indore,6.6,5,0-2 Lakh,7,no
76,amit,amit@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Cloud Counselage Website,,Students,2023,Guna,8.5,3,0-2 Lakh,20,no
79,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2024,Sagar,7.1,7,0-2 Lakh,17,no
81,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Others,College,Students,2023,Vidisha,8.0,7,0-2 Lakh,8,yes
82,Nisha,nisha@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Others,College,Students,2024,Akola,6.5,7,0-2 Lakh,9,yes
83,Rehan,rehan@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Others,College,Students,2024,Aurangabad,9.4,7,0-2 Lakh,21,no 
86,Pratiksha ,pratiksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Instagram | Email,,Students,2023,Bid,7.9,7,0-2 Lakh,21,yes
87,Ninad,ninad@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Buldhana,9.3,5,0-2 Lakh,30,no
88,Satish ,satish@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Dhule,6.9,4,0-2 Lakh,24,no
90,Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2024,Kalyan,8.3,7,0-2 Lakh,19,yes
92,Yash,yash@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Navi Mumbai,8.1,7,0-2 Lakh,17,no
93,ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,,Students,2024,Nagpur,9.6,3,0-2 Lakh,9,no
94,Leah,leah@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2023,Nanded,7.5,3,0-2 Lakh,8,no
95,Simran,simran@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Cloud Counselage Website,,Students,2024,Kolhapur,7.9,7,0-2 Lakh,8,yes
97,Krutika,krutika@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Matheran,9.6,4,0-2 Lakh,8,no 
100,Himani ,himani@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2024,Satara,7.6,7,0-2 Lakh,17,no
101,Sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Sangola,7.2,7,0-2 Lakh,11,no
102,Yogita,yogita@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Vasai,7.1,5,0-2 Lakh,18,no
103,Bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2024,Shillong,7.1,4,0-2 Lakh,12,no
105,Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Whatsapp,,Students,2023,konark,9.2,5,0-2 Lakh,8,no
106,Satish,satish@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Whatsapp,,Students,2023,Cuttack,7.9,5,0-2 Lakh,9,yes
107,Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,LinkedIn,,Students,2023,Amritsar,7.8,3,0-2 Lakh,19,no 
110,Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,,Students,2023,Ajmer,8.4,4,7 Lakh+,6,no
111,Sonal,sonal@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Amer,6.7,4,0-2 Lakh,9,no
112,Ashwini,ashwini@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Barmer,9.2,7,0-2 Lakh,20,no
113,Sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",LinkedIn | Email | Cloud Counselage Website,,Students,2023,Bikaner,7.3,5,0-2 Lakh,15,yes
115,Himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Youtube | Facebook | Instagram | Whatsapp | Email,,Students,2023,Jhalwar,7.6,7,0-2 Lakh,13,no
117,Aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Email,,Students,2023,Sikar,6.6,3,0-2 Lakh,10,yes
118,Darsh,darsh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Email,,Students,2023,Gangtok,7.8,7,2-5 Lakh,10,no 
122,Mona ,mona@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,,Students,2024,Agra,8.0,7,0-2 Lakh,21,no
123,Chetan ,chetan@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Email,,Students,2024,Aligarh,8.5,7,0-2 Lakh,9,no
124,Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Gonda,8.5,7,0-2 Lakh,9,no
125,Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Email,,Students,2023,Ghazipur,9.1,3,0-2 Lakh,8,yes
127,Vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Email,,Students,2024,Gonda,8.7,7,0-2 Lakh,21,no
128,Swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2024,Gorakhpur,6.5,3,0-2 Lakh,5,no
130,Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Whatsapp,,Students,2023,Deoria,9.3,7,0-2 Lakh,21,no
131,Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2023,Budaun,7.6,4,0-2 Lakh,8,yes
132,SANKET,sanket@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,,Students,2024,Mathura,9.2,5,0-2 Lakh,13,yes
133,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn | Whatsapp,,Students,2023,Mainpuri,7.3,7,0-2 Lakh,24,yes
135,Abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2023,Almora,7.1,7,0-2 Lakh,11,no
137,Rushikesh,rushikesh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2024,Haora,9.2,3,0-2 Lakh,8,yes
138,Priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Others,College,Students,2023,Hugli,9.3,5,0-2 Lakh,8,no
139,Vishal,vishal@xyz.com,1,Art of Resume Building,NAN,St.Francis Institute of Technology,Youtube | Facebook,,Students,2023,Palashi,7.3,4,0-2 Lakh,21,no
140,Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Santipur,7.4,3,0-2 Lakh,30,yes
142,Samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Others,College,Students,2023,Silguri,7.4,3,0-2 Lakh,8,no 
145,Ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2024,Siuri,7.9,7,0-2 Lakh,18,no
146,Hemant,hemant@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp,,Students,2023,Titagrah,7.2,3,0-2 Lakh,9,no
147,Ritik ,ritik@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Orchha,7.1,4,0-2 Lakh,8,no
149,Vedant,vedant@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2024,Satna,8.7,7,0-2 Lakh,8,no
151,vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email | Cloud Counselage Website,,Students,2023,Akola,7.1,7,0-2 Lakh,7,no
152,Riya,riya@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Email,,Students,2023,Aurangabad,8.5,3,0-2 Lakh,7,no
154,Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Others,College,Students,2023,Dhule,8.2,3,0-2 Lakh,7,yes
155,Payal ,payal@xyz.com,1,Art of Resume Building,Attending,,Email,,Students,2023,Mumbai,7.4,5,0-2 Lakh,8,yes
156,akanksha,akanksha@xyz.com,1,Art of Resume Building,Attending,,Email,,Students,2023,Nagpur,7.3,5,0-2 Lakh,11,no
159,Sapana,sapana@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2024,Patiala,7.9,7,0-2 Lakh,9,no
161,MAHESH,mahesh@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Email,,Students,2023,Amer,9.5,4,0-2 Lakh,9,no 
164,Sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2023,Kota,9.5,4,0-2 Lakh,20,yes
166,Sanika,sanika@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Email,,Students,2023,Ahemdabad,9.9,7,0-2 Lakh,16,no
167,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Email,,Students,2024,Dwarka,6.7,7,0-2 Lakh,9,no
169,Snehal,snehal@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Jamnagar,8.3,7,0-2 Lakh,8,yes
170,Louis,louis@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Facebook,,Students,2023,Junagadh,6.3,4,0-2 Lakh,6,no 
173,Parag,parag@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Cloud Counselage Website,,Students,2024,Nadiad,8.5,4,0-2 Lakh,5,yes
174,ANKITA,ankita@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Email,,Students,2024,Navsari,8.5,5,0-2 Lakh,21,no
175,Dhanashri,dhanashri@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp | Email,,Students,2023,Okha,8.8,4,0-2 Lakh,23,no
178,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Ambala,6.4,4,0-2 Lakh,8,no
180,Sharvari,sharvari@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2024,Faridabad,7.7,4,0-2 Lakh,18,no
184,Amey,amey@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2024,Agra,7.6,5,0-2 Lakh,13,yes
186,Rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Others,College,Students,2024,Ghaziabad,9.2,3,0-2 Lakh,18,yes
188,Monika,monika@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Youtube,,Students,2024,Budaun,7.5,5,0-2 Lakh,7,no
189,Yogesh ,yogesh@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2023,Jhansi,6.9,4,0-2 Lakh,13,yes
190,Gouri,gouri@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Cloud Counselage Website,,Students,2023,Mainpuri,6.7,5,0-2 Lakh,6,yes
192,SIDDHESH,siddhesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2024,Haora,7.2,7,0-2 Lakh,17,no
194,Somnath,somnath@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,LinkedIn | Email,,Students,2023,Kolkata,6.6,5,0-2 Lakh,11,no
195,Sayali,sayali@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Malda,9.5,4,0-2 Lakh,12,no
196,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Email,,Students,2023,Palashi,8.1,4,0-2 Lakh,10,no
197,Santosh,santosh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,,Students,2024,Santipur,9.7,4,0-2 Lakh,10,no
198,Sakshi,sakshi@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Silguri,9.1,3,0-2 Lakh,15,yes
200,VAIBHAVI,vaibhavi@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2024,Siuri,8.5,7,0-2 Lakh,9,yes
201,Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Youtube | Email,,Students,2023,Titagrah,8.7,4,0-2 Lakh,9,no
202,revati,revati@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2023,Orchha,8.3,4,0-2 Lakh,8,no
206,Pradnya ,pradnya@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Email,,Students,2024,Akola,7.7,5,0-2 Lakh,21,no
207,Suhas,suhas@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2023,Aurangabad,7.5,5,0-2 Lakh,8,no
208,Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Youtube,,Students,2023,Bhandara,7.2,5,0-2 Lakh,7,no
210,Mayur,mayur@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Cloud Counselage Website,,Students,2024,Bid,7.3,5,0-2 Lakh,9,yes
211,Ramita,ramita@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Facebook,,Students,2024,Jalgaon,6.6,7,0-2 Lakh,17,yes
212,Bhushan,bhushan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Others,College,Students,2023,Thane,8.5,7,0-2 Lakh,21,no
213,Ganesh,ganesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Others,College,Students,2024,Navi Mumbai,7.7,5,0-2 Lakh,8,no
215,yash,yash@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Facebook | Whatsapp,,Students,2023,Nanded,7.1,4,0-2 Lakh,7,no
216,Abhay,abhay@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Email,,Students,2023,Amritsar,7.7,3,0-2 Lakh,21,no
217,Shraddha,shraddha@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2024,Patiala,8.0,7,0-2 Lakh,30,no
219,Suraj,suraj@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Email,,Students,2024,Jaipur,9.3,3,0-2 Lakh,18,yes
220,Kalyani,kalyani@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Jalor,6.9,7,0-2 Lakh,9,yes
222,sarthak,sarthak@xyz.com,1,Art of Resume Building,Attending,adhiyamaan college of engineering,Email,,Students,2023,Sikar,9.5,3,0-2 Lakh,8,no
223,Pratik ,pratik@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2024,Ahemdabad,9.6,5,0-2 Lakh,9,no
224,Asis ,asis@xyz.com,1,Art of Resume Building,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2023,Amreli,7.5,4,0-2 Lakh,9,no
225,Shivani ,shivani@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Others,Friends,Students,2024,Dwarka,7.9,3,0-2 Lakh,17,no
226,Prathamesh,prathamesh@xyz.com,1,Art of Resume Building,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Email | Cloud Counselage Website,,Students,2023,Jamnagar,9.6,7,0-2 Lakh,19,yes
228,Sushant,sushant@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2024,Kheda,7.3,4,0-2 Lakh,19,no 
229,Sharvari,sharvari@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Others,College,Students,2024,Nadiad,7.6,4,0-2 Lakh,12,yes
