index,First Name,Email ID,CGPA,Experience with python (Months),Expected salary (Lac)
722,Matthew,matthew@xyz.com,8.5,7,19
723,Nancy,nancy@xyz.com,8.1,7,22
728,Liza,liza@xyz.com,9.4,7,24
731,Lesa,lesa@xyz.com,8.3,7,12
737,Jose,jose@xyz.com,9.1,7,16
752,George,george@xyz.com,9.2,7,19
764,Donna,donna@xyz.com,8.5,7,15
767,Ron,ron@xyz.com,8.7,7,12
772,Edmund,edmund@xyz.com,8.7,7,19
778,John,john@xyz.com,9.9,7,19
779,Chelsey,chelsey@xyz.com,9.3,7,26
791,Lloyd,lloyd@xyz.com,8.7,7,21
807,Refugio,refugio@xyz.com,9.2,7,25
809,Angel,angel@xyz.com,8.1,7,8
811,Lauren,lauren@xyz.com,9.8,7,21
823,Justin,justin@xyz.com,8.5,7,8
829,Julie,julie@xyz.com,9.9,7,24
834,Phillip,phillip@xyz.com,8.7,7,5
868,Hector,hector@xyz.com,8.3,7,7
872,Virginia,virginia@xyz.com,9.6,7,21
876,Aida,aida@xyz.com,9.1,7,30
882,Jeremiah,jeremiah@xyz.com,9.1,7,30
884,Heather,heather@xyz.com,9.5,7,21
889,Roxanna,roxanna@xyz.com,9.2,7,30
892,Raymond,raymond@xyz.com,9.3,7,21
894,Stephanie,stephanie@xyz.com,8.4,7,13
900,Lori,lori@xyz.com,9.7,7,25
919,Jeanne,jeanne@xyz.com,8.2,7,8
921,Katrina,katrina@xyz.com,9.1,7,21
931,Cheryl,cheryl@xyz.com,8.4,7,6
935,Sharon,sharon@xyz.com,9.5,7,20
937,Clay,clay@xyz.com,8.3,7,9
945,Josh,josh@xyz.com,8.7,7,8
964,Pedro,pedro@xyz.com,9.1,7,19
973,Steven,steven@xyz.com,9.4,7,21
975,Dominique,dominique@xyz.com,8.5,7,21
987,Randolph,randolph@xyz.com,9.6,7,24
1000,Sheila,sheila@xyz.com,8.4,7,9
1003,Alise,alise@xyz.com,9.9,7,15
1005,Melanie,melanie@xyz.com,9.3,7,18
1020,Ricardo,ricardo@xyz.com,9.1,7,10
1023,Leigh,leigh@xyz.com,8.3,7,21
1026,Gabrielle,gabrielle@xyz.com,9.3,7,21
1036,Janis,janis@xyz.com,9.5,7,21
1038,Greg,greg@xyz.com,8.2,7,8
1046,Arthur,arthur@xyz.com,9.8,7,20
1049,Eloise,eloise@xyz.com,9.5,7,21
1078,Camilla,camilla@xyz.com,9.5,7,22
1080,Mike,mike@xyz.com,9.7,7,17
1081,Sybil,sybil@xyz.com,9.3,7,20
1082,Lois,lois@xyz.com,9.1,7,15
1085,Xenia,xenia@xyz.com,8.5,7,11
1088,Leah,leah@xyz.com,8.6,7,10
1094,Cindy,cindy@xyz.com,9.4,7,21
1097,Louise,louise@xyz.com,8.1,7,7
1110,Kaley,kaley@xyz.com,9.3,7,17
1114,Michele,michele@xyz.com,9.1,7,17
1117,Nell,nell@xyz.com,9.5,7,24
1129,Everett,everett@xyz.com,8.4,7,9
1133,Lindsay,lindsay@xyz.com,8.5,7,7
1134,Sheri,sheri@xyz.com,8.5,7,8
1138,Annie,annie@xyz.com,8.8,7,7
1142,Terri,terri@xyz.com,8.7,7,8
1145,Jorge,jorge@xyz.com,9.2,7,19
1150,Juliet,juliet@xyz.com,8.3,7,20
1158,Maxwell,maxwell@xyz.com,8.5,7,21
1159,Joel,joel@xyz.com,9.5,7,17
1174,Nancey,nancey@xyz.com,9.9,7,21
1189,Max,max@xyz.com,9.5,7,17
1198,Stuart,stuart@xyz.com,9.0,7,24
1204,Jeff,jeff@xyz.com,9.3,7,19
1209,Christina,christina@xyz.com,8.3,7,13
1210,Michelle,michelle@xyz.com,8.6,7,15
1229,Larry,larry@xyz.com,8.3,7,9
1232,Johnna,johnna@xyz.com,9.6,7,21
1233,Wallace,wallace@xyz.com,9.1,7,17
1236,Coral,coral@xyz.com,9.1,7,30
1240,Lorine,lorine@xyz.com,9.5,7,17
1252,Edith,edith@xyz.com,8.7,7,5
1255,Rosemarie,rosemarie@xyz.com,8.5,7,8
1257,Derrick,derrick@xyz.com,8.7,7,8
1259,Shelley,shelley@xyz.com,8.8,6,20
1260,Rogelio,rogelio@xyz.com,9.3,6,17
1265,Glenda,glenda@xyz.com,9.2,7,15
1266,Tracy,tracy@xyz.com,9.3,7,20
1268,Herman,herman@xyz.com,8.3,6,9
1286,Nathaniel,nathaniel@xyz.com,9.6,6,25
1293,Rodney,rodney@xyz.com,8.5,6,21
1295,Antonia,antonia@xyz.com,8.3,6,7
1322,Joni,joni@xyz.com,8.5,7,18
1325,Alton,alton@xyz.com,9.4,7,29
1327,Deandra,deandra@xyz.com,8.5,6,7
1328,Bernard,bernard@xyz.com,9.1,7,17
1332,Jane,jane@xyz.com,9.4,7,15
1336,Hazel,hazel@xyz.com,8.1,7,12
1346,Charlotte,charlotte@xyz.com,9.3,6,21
1351,Rachelle,rachelle@xyz.com,8.1,6,8
1353,Evangeline,evangeline@xyz.com,9.3,7,24
1354,Jordan,jordan@xyz.com,9.6,7,17
1355,Sue,sue@xyz.com,9.1,7,21
1360,Ronnie,ronnie@xyz.com,9.1,7,25
1363,Darla,darla@xyz.com,9.2,7,19
1368,Dennis,dennis@xyz.com,8.4,6,8
1369,Beatrice,beatrice@xyz.com,9.2,7,25
1370,Leland,leland@xyz.com,9.9,7,26
1375,Carmella,carmella@xyz.com,8.7,6,5
1379,Morgan,morgan@xyz.com,8.5,6,20
1380,Marilu,marilu@xyz.com,8.5,6,5
1382,Jasmin,jasmin@xyz.com,9.7,6,19
1383,Naomi,naomi@xyz.com,8.7,6,5
1385,Rocky,rocky@xyz.com,8.8,7,9
1390,Myriam,myriam@xyz.com,9.2,6,20
1394,Randall,randall@xyz.com,9.9,6,27
1395,Clarice,clarice@xyz.com,9.3,7,28
1399,Jimmy,jimmy@xyz.com,8.3,7,5
1403,Tressie,tressie@xyz.com,9.7,7,17
1409,Monte,monte@xyz.com,8.5,7,9
1410,Todd,todd@xyz.com,9.1,7,17
1411,Katie,katie@xyz.com,9.5,6,19
1415,Kristopher,kristopher@xyz.com,8.7,7,12
1420,Beth,beth@xyz.com,9.2,7,19
1425,Damien,damien@xyz.com,9.8,6,15
1427,Andres,andres@xyz.com,9.6,7,19
1433,Isaac,isaac@xyz.com,8.4,7,10
1434,Hermelinda,hermelinda@xyz.com,9.9,7,15
1439,Wanda,wanda@xyz.com,8.9,6,8
1440,Charisse,charisse@xyz.com,9.5,6,14
1441,Trent,trent@xyz.com,8.5,6,21
1442,Devon,devon@xyz.com,8.5,7,5
1443,Janice,janice@xyz.com,8.8,7,16
1446,Clifford,clifford@xyz.com,8.3,6,7
1450,Alvin,alvin@xyz.com,9.9,6,24
1455,Cheryle,cheryle@xyz.com,8.7,7,7
1466,Barry,barry@xyz.com,8.7,6,8
1473,Rafael,rafael@xyz.com,9.5,8,15
1474,Margarita,margarita@xyz.com,8.1,8,19
1481,Yuko,yuko@xyz.com,8.7,8,19
1482,Ernest,ernest@xyz.com,8.3,8,25
1484,Minnie,minnie@xyz.com,8.6,6,6
1485,Myra,myra@xyz.com,8.5,8,9
1486,Shawna,shawna@xyz.com,9.1,8,20
1491,Toni,toni@xyz.com,9.4,6,16
1501,Vicente,vicente@xyz.com,9.4,8,18
1506,Charles,charles@xyz.com,8.3,8,13
1508,Lauren,lauren@xyz.com,9.6,6,21
1512,Gary,gary@xyz.com,9.1,6,25
1518,Mark,mark@xyz.com,9.1,8,21
1526,Thomas,thomas@xyz.com,8.4,8,5
1531,John,john@xyz.com,9.9,8,22
1541,Linda,linda@xyz.com,8.5,6,13
1542,Kathy,kathy@xyz.com,9.1,8,15
1544,Belinda,belinda@xyz.com,8.7,6,12
1545,Robert,robert@xyz.com,8.8,6,20
1546,Eugene,eugene@xyz.com,9.3,6,20
1550,Mary,mary@xyz.com,9.1,6,17
1556,Thomas,thomas@xyz.com,9.9,8,25
1565,Donald,donald@xyz.com,9.7,8,26
1569,Gene,gene@xyz.com,8.2,8,11
1573,Lydia,lydia@xyz.com,9.1,6,15
1575,Mark,mark@xyz.com,8.2,8,7
1577,Matthew,matthew@xyz.com,8.7,8,19
1581,Jeffery,jeffery@xyz.com,9.9,6,16
1584,Shirley,shirley@xyz.com,9.6,6,15
1590,Robert,robert@xyz.com,8.4,6,9
1594,Karen,karen@xyz.com,8.3,8,16
1595,Eric,eric@xyz.com,8.9,6,8
1602,Jean,jean@xyz.com,8.3,6,11
1611,Gloria,gloria@xyz.com,9.5,6,21
1624,Mary,mary@xyz.com,8.5,6,12
1627,Steven,steven@xyz.com,9.5,8,25
1635,Clay,clay@xyz.com,8.7,8,15
1636,Alice,alice@xyz.com,8.3,8,17
1637,Carolyn,carolyn@xyz.com,9.4,6,19
1638,Judith,judith@xyz.com,8.6,8,13
1649,John,john@xyz.com,8.1,6,21
1652,Linda,linda@xyz.com,8.3,6,21
1655,Christopher,christopher@xyz.com,9.4,8,23
1659,Carol,carol@xyz.com,9.3,6,17
1662,Alma,alma@xyz.com,8.1,8,7
1664,George,george@xyz.com,9.6,6,21
1671,Roy,roy@xyz.com,9.1,8,24
1681,Charles,charles@xyz.com,9.2,8,19
1683,Joan,joan@xyz.com,9.9,6,16
1685,Ricardo,ricardo@xyz.com,9.3,8,23
1689,Cora,cora@xyz.com,8.7,8,15
1693,Robert,robert@xyz.com,8.5,8,20
1694,Mary,mary@xyz.com,9.1,6,32
1695,Peggy,peggy@xyz.com,9.7,8,16
1697,Luis,luis@xyz.com,9.3,8,30
1699,Lisa,lisa@xyz.com,8.7,8,8
1700,Vanessa,vanessa@xyz.com,9.1,8,21
1705,Erica,erica@xyz.com,9.3,6,19
1710,Eugene,eugene@xyz.com,8.3,6,9
1713,Steve,steve@xyz.com,9.7,6,30
1718,Carl,carl@xyz.com,8.7,6,23
1720,Anita,anita@xyz.com,8.5,6,13
1721,Benjamin,benjamin@xyz.com,9.1,8,19
1731,Lori,lori@xyz.com,8.6,8,12
1734,Lorna,lorna@xyz.com,9.9,6,15
1736,John,john@xyz.com,9.8,6,21
1737,Kimberly,kimberly@xyz.com,9.6,8,21
1743,Frank,frank@xyz.com,8.4,8,21
1747,Joseph,joseph@xyz.com,8.9,6,17
1749,Paul,paul@xyz.com,8.5,8,21
1750,Byron,byron@xyz.com,8.5,6,8
1753,Rebecca,rebecca@xyz.com,8.3,6,25
1764,Maria,maria@xyz.com,9.5,8,18
1765,Catherine,catherine@xyz.com,9.2,8,16
1778,Manuel,manuel@xyz.com,8.5,8,19
1780,Roy,roy@xyz.com,9.5,6,29
1783,Grace,grace@xyz.com,9.3,6,15
1788,Rex,rex@xyz.com,8.5,6,12
1789,Ellen,ellen@xyz.com,8.3,6,10
1790,Thomas,thomas@xyz.com,8.6,8,15
1792,Charles,charles@xyz.com,9.1,8,20
1799,Velma,velma@xyz.com,8.1,8,20
1802,Eddie,eddie@xyz.com,8.3,8,24
1806,Alexander,alexander@xyz.com,9.4,6,24
1813,Bryan,bryan@xyz.com,8.1,8,19
1814,Cora,cora@xyz.com,9.5,8,21
1818,Doris,doris@xyz.com,9.3,6,25
1819,Carl,carl@xyz.com,9.6,6,26
1828,Christine,christine@xyz.com,9.5,8,34
1833,Rosa,rosa@xyz.com,9.1,8,20
1835,Laurie,laurie@xyz.com,8.4,6,7
1841,Lawrence,lawrence@xyz.com,9.3,8,25
1843,Jacob,jacob@xyz.com,8.4,6,5
1847,Norman,norman@xyz.com,8.5,6,9
1850,Kevin,kevin@xyz.com,9.3,6,21
1853,Joan,joan@xyz.com,8.7,6,7
1854,Harry,harry@xyz.com,9.1,6,30
1859,Matt,matt@xyz.com,9.3,8,19
1867,Everett,everett@xyz.com,9.7,8,19
1874,Carl,carl@xyz.com,8.5,8,5
1875,Elizabeth,elizabeth@xyz.com,9.1,8,19
1880,David,david@xyz.com,9.1,8,18
1883,Michael,michael@xyz.com,8.6,8,15
1884,James,james@xyz.com,9.2,6,25
1887,Debbie,debbie@xyz.com,9.9,8,20
1888,Annie,annie@xyz.com,8.1,8,20
1895,Timothy,timothy@xyz.com,8.4,6,21
1900,Lawrence,lawrence@xyz.com,8.3,8,7
1910,Marie,marie@xyz.com,9.9,6,15
1917,Jeremiah,jeremiah@xyz.com,9.5,6,19
1927,Carla,carla@xyz.com,8.7,6,10
1930,Ronald,ronald@xyz.com,8.5,8,12
1933,Thomas,thomas@xyz.com,9.5,8,25
1936,Tammy,tammy@xyz.com,9.3,6,19
1942,George,george@xyz.com,8.6,8,29
1943,Betty,betty@xyz.com,8.5,8,19
1949,Lisa,lisa@xyz.com,9.4,8,25
1959,Lena,lena@xyz.com,9.4,8,25
1965,Nicholas,nicholas@xyz.com,8.9,8,13
1966,Richard,richard@xyz.com,8.3,8,11
1968,David,david@xyz.com,8.1,8,19
1971,Bobby,bobby@xyz.com,9.6,8,25
1978,Curtis,curtis@xyz.com,9.1,8,20
1980,Joshua,joshua@xyz.com,9.2,8,22
1985,Charles,charles@xyz.com,9.1,6,15
1986,Chad,chad@xyz.com,8.4,6,20
1988,Patricia,patricia@xyz.com,9.2,6,17
1991,Phyllis,phyllis@xyz.com,9.9,6,20
2003,David,david@xyz.com,9.1,8,21
2005,Patricia,patricia@xyz.com,8.7,6,9
2007,Marcia,marcia@xyz.com,8.8,8,7
2011,Evelyn,evelyn@xyz.com,8.7,8,24
2021,Susan,susan@xyz.com,8.3,8,8
2033,Peggy,peggy@xyz.com,9.1,8,29
2034,Joseph,joseph@xyz.com,9.5,8,29
2036,Christy,christy@xyz.com,8.2,6,13
2038,Johnny,johnny@xyz.com,8.7,8,14
2043,Stephen,stephen@xyz.com,8.6,8,14
2044,Barbara,barbara@xyz.com,9.2,8,16
2046,Stanley,stanley@xyz.com,9.9,6,29
2047,Terry,terry@xyz.com,8.1,6,7
2050,Jacqueline,jacqueline@xyz.com,9.6,6,30
2052,Marcia,marcia@xyz.com,9.1,8,21
2058,Hilda,hilda@xyz.com,8.9,8,9
2061,William,william@xyz.com,8.8,8,11
2071,Kathleen,kathleen@xyz.com,9.2,6,22
2073,Maria,maria@xyz.com,8.7,6,9
2076,Carol,carol@xyz.com,9.2,6,17
2087,Leslie,leslie@xyz.com,9.0,8,9
2091,Laurie,laurie@xyz.com,9.5,8,16
2102,Helen,helen@xyz.com,8.5,6,8
2103,Larry,larry@xyz.com,9.1,6,28
2113,Mark,mark@xyz.com,8.1,8,8
2124,Robert,robert@xyz.com,8.9,8,23
2127,John,john@xyz.com,8.1,8,7
2129,Corey,corey@xyz.com,9.6,8,19
2131,Bryan,bryan@xyz.com,9.3,8,13
2145,Patrick,patrick@xyz.com,9.1,8,17
2153,Victoria,victoria@xyz.com,9.3,8,19
2166,Misty,misty@xyz.com,9.1,8,29
2167,Donna,donna@xyz.com,9.2,8,29
2172,Stephen,stephen@xyz.com,9.3,6,20
2176,Matthew,matthew@xyz.com,8.3,6,8
2179,Kenneth,kenneth@xyz.com,9.7,8,11
2181,Richard,richard@xyz.com,8.7,8,9
2182,Susan,susan@xyz.com,8.7,8,5
2185,Juan,juan@xyz.com,8.5,6,15
2187,Christy,christy@xyz.com,9.5,6,21
2191,Robert,robert@xyz.com,8.7,6,16
2195,Harry,harry@xyz.com,8.6,6,8
2196,Mario,mario@xyz.com,9.2,6,15
2201,Terry,terry@xyz.com,9.5,8,23
2203,Margaret,margaret@xyz.com,9.6,6,28
2208,Steven,steven@xyz.com,9.5,8,23
2210,James,james@xyz.com,8.4,6,8
2211,Ronald,ronald@xyz.com,9.9,8,19
2218,Brandon,brandon@xyz.com,9.5,6,18
2219,Kevin,kevin@xyz.com,8.5,8,12
2225,Christopher,christopher@xyz.com,9.9,8,20
2230,Maria,maria@xyz.com,9.2,8,19
2232,Robert,robert@xyz.com,8.7,6,11
2243,Alan,alan@xyz.com,8.7,8,5
2245,Maxine,maxine@xyz.com,9.0,8,21
2247,Kenneth,kenneth@xyz.com,8.5,6,7
2251,Jean,jean@xyz.com,9.7,6,17
2252,William,william@xyz.com,9.3,8,19
2257,Johnnie,johnnie@xyz.com,8.7,6,25
2258,Joyce,joyce@xyz.com,8.3,8,21
2259,Monica,monica@xyz.com,9.4,6,30
2260,Anna,anna@xyz.com,8.6,6,24
2261,Roger,roger@xyz.com,8.5,8,8
2272,Luis,luis@xyz.com,8.5,8,9
2274,Timothy,timothy@xyz.com,8.1,8,17
2288,Alvaro,alvaro@xyz.com,9.6,8,18
2289,Kenneth,kenneth@xyz.com,9.1,6,27
2295,Christy,christy@xyz.com,9.5,6,27
2296,Donald,donald@xyz.com,9.2,8,19
2302,Lindsay,lindsay@xyz.com,8.4,6,20
2308,Julia,julia@xyz.com,8.4,8,8
2310,Maxine,maxine@xyz.com,8.7,8,21
2314,Donna,donna@xyz.com,8.5,8,21
2319,Thomas,thomas@xyz.com,8.8,6,8
2321,Leonard,leonard@xyz.com,9.1,8,19
2325,Corey,corey@xyz.com,9.2,6,26
2326,Bonnie,bonnie@xyz.com,9.3,6,26
2329,Nancy,nancy@xyz.com,8.3,8,5
2336,Jonathan,jonathan@xyz.com,8.7,6,12
2339,Cynthia,cynthia@xyz.com,8.5,8,14
2341,Patricia,patricia@xyz.com,9.5,6,16
2343,Teresa,teresa@xyz.com,8.2,6,7
2345,Mary,mary@xyz.com,8.7,6,6
2349,Jose,jose@xyz.com,8.6,6,23
2350,Edwin,edwin@xyz.com,9.2,8,29
2354,Ahmad,ahmad@xyz.com,8.1,6,19
2355,John,john@xyz.com,9.5,6,18
2357,Tammy,tammy@xyz.com,9.1,6,19
2359,Karen,karen@xyz.com,9.5,8,13
2361,Frank,frank@xyz.com,8.4,6,15
2369,Keith,keith@xyz.com,8.5,6,25
2373,Fred,fred@xyz.com,8.3,8,20
2377,Edward,edward@xyz.com,9.9,6,19
2383,John,john@xyz.com,9.2,8,23
2392,Vickie,vickie@xyz.com,9.0,6,25
2394,Christine,christine@xyz.com,8.5,6,11
2397,Rachel,rachel@xyz.com,9.5,8,19
2406,Leo,leo@xyz.com,8.3,6,17
2408,Maria,maria@xyz.com,8.6,8,9
2410,Catherine,catherine@xyz.com,9.1,6,19
2414,Jackie,jackie@xyz.com,9.4,8,25
2417,Brian,brian@xyz.com,8.5,8,19
2422,Paul,paul@xyz.com,8.3,8,9
2424,Angela,angela@xyz.com,9.4,6,25
2427,Rick,rick@xyz.com,9.3,6,20
2429,Matthew,matthew@xyz.com,8.9,6,17
2430,Joan,joan@xyz.com,8.3,6,19
2431,Jeffrey,jeffrey@xyz.com,8.1,8,11
2432,Josie,josie@xyz.com,9.5,6,19
2436,Nancy,nancy@xyz.com,9.3,6,15
2437,Rachelle,rachelle@xyz.com,9.1,6,20
2444,Joan,joan@xyz.com,9.2,8,19
2453,Linda,linda@xyz.com,9.2,6,19
2456,Arthur,arthur@xyz.com,9.9,8,25
2458,Lisa,lisa@xyz.com,9.3,8,30
2460,Terry,terry@xyz.com,8.4,6,8
2462,Edna,edna@xyz.com,8.7,6,17
2465,Ronnie,ronnie@xyz.com,8.5,6,8
2471,Jordan,jordan@xyz.com,9.3,6,20
2475,Tony,tony@xyz.com,9.2,8,28
2489,John,john@xyz.com,8.7,8,30
2490,Willie,willie@xyz.com,8.7,6,24
2491,Leland,leland@xyz.com,8.2,8,8
2495,Annie,annie@xyz.com,9.5,8,27
2498,Paul,paul@xyz.com,8.2,8,8
2500,Christina,christina@xyz.com,9.1,6,19
2503,Patrick,patrick@xyz.com,8.6,6,11
2504,Catherine,catherine@xyz.com,9.2,6,15
2506,Armando,armando@xyz.com,9.9,6,19
2519,Irene,irene@xyz.com,8.5,6,15
2530,Erica,erica@xyz.com,9.5,8,16
2541,James,james@xyz.com,8.7,8,8
2547,Julia,julia@xyz.com,9.7,8,25
2552,Michael,michael@xyz.com,8.7,6,13
2556,Philip,philip@xyz.com,8.5,8,21
2557,Charles,charles@xyz.com,9.1,6,19
2563,Kathryn,kathryn@xyz.com,9.4,8,24
2564,Sean,sean@xyz.com,8.5,6,21
2566,Corey,corey@xyz.com,8.1,8,18
2568,Thelma,thelma@xyz.com,8.3,8,8
2576,Richard,richard@xyz.com,8.9,6,7
2579,Robert,robert@xyz.com,8.1,6,5
2583,Sarah,sarah@xyz.com,9.1,6,19
2590,Annie,annie@xyz.com,9.5,6,20
2596,Thomas,thomas@xyz.com,8.4,6,6
2601,David,david@xyz.com,9.3,8,14
2605,Franklin,franklin@xyz.com,8.7,8,23
2608,Victoria,victoria@xyz.com,8.5,8,9
2609,Kathy,kathy@xyz.com,9.1,6,18
2610,Rex,rex@xyz.com,9.7,8,18
2613,Jane,jane@xyz.com,9.3,6,18
2615,Daniel,daniel@xyz.com,8.7,8,9
2616,Larry,larry@xyz.com,9.1,6,18
2619,James,james@xyz.com,8.3,8,6
2624,Lisa,lisa@xyz.com,8.3,8,12
2628,Mildred,mildred@xyz.com,9.7,6,15
2633,Edmund,edmund@xyz.com,8.5,8,5
2638,Derrick,derrick@xyz.com,8.7,6,13
2639,David,david@xyz.com,9.1,6,24
2640,Maria,maria@xyz.com,8.9,8,17
2642,Nancy,nancy@xyz.com,8.6,8,8
2643,Louis,louis@xyz.com,9.2,6,18
2646,Andrew,andrew@xyz.com,9.9,6,25
2648,Dawn,dawn@xyz.com,9.6,8,21
2651,Ronald,ronald@xyz.com,9.1,8,17
2659,Mark,mark@xyz.com,8.9,6,13
2660,Delores,delores@xyz.com,9.5,8,21
2661,Sandra,sandra@xyz.com,8.5,6,15
2662,James,james@xyz.com,8.5,8,19
2665,Dennis,dennis@xyz.com,8.3,6,8
2669,Robert,robert@xyz.com,9.9,8,19
2673,Glenda,glenda@xyz.com,9.2,6,20
2674,Donna,donna@xyz.com,8.7,8,17
2677,Donna,donna@xyz.com,9.2,8,23
2687,Lisa,lisa@xyz.com,8.7,6,8
2694,Lucille,lucille@xyz.com,9.5,6,18
2696,Mary,mary@xyz.com,9.7,8,25
2698,Peter,peter@xyz.com,9.1,6,24
2701,Tom,tom@xyz.com,8.5,6,8
2703,Jorge,jorge@xyz.com,9.4,8,27
2704,Kathy,kathy@xyz.com,8.6,8,25
2710,Alan,alan@xyz.com,9.4,6,18
2717,Josie,josie@xyz.com,9.4,8,25
2722,Dennis,dennis@xyz.com,8.9,8,17
2727,Juan,juan@xyz.com,9.6,8,29
2730,Melissa,melissa@xyz.com,9.3,6,15
2732,Aaron,aaron@xyz.com,9.1,6,20
2741,Dorothy,dorothy@xyz.com,9.2,8,29
2757,Dominic,dominic@xyz.com,8.5,8,8
2762,James,james@xyz.com,8.8,8,17
2763,Elizabeth,elizabeth@xyz.com,9.3,6,18
2764,Peggy,peggy@xyz.com,8.7,6,19
2769,Jennifer,jennifer@xyz.com,8.3,8,7
